full_name,the_geom,segment_id,type,st_name,st_type,st_dir,from_right,to_right,from_left,to_left
Regent Ave W,"MULTILINESTRING ((-97.025378010441 49.895207411314, -97.028315522167 49.895221434474))",18949,STREET,Regent,AVE,W,801,827,810,826
Prairie Crocus Dr,"MULTILINESTRING ((-97.054398062706 49.909563683972, -97.052948069372 49.909088770263))",26971,STREET,Prairie Crocus,DR,,2,30,25,25
Edkar Cres,"MULTILINESTRING ((-97.074371557321 49.953419985449, -97.074434388482 49.953323715149, -97.075719555724 49.952129093347, -97.074801546836 49.951727070766))",19652,STREET,Edkar,CRES,,,,55,71
Southwood Ave,"MULTILINESTRING ((-97.156597211297 49.842336751277, -97.158724918678 49.841614991581))",5253,STREET,Southwood,AVE,,1107,1139,1102,1138
Bishop Grandin Blvd,"MULTILINESTRING ((-97.156855056541 49.81872872895, -97.158888702159 49.818626134594))",2007,STREET,Bishop Grandin,BLVD,,3361,3365,,
Centennial St,"MULTILINESTRING ((-97.201909952962 49.857044959618, -97.202231741466 49.85362284826))",10374,STREET,Centennial,ST,,745,853,750,848
Dawson Rd N,"MULTILINESTRING ((-97.102266120391 49.898479590784, -97.101595035153 49.897128340264))",16615,STREET,Dawson,RD,N,10,14,,
Seel Ave,"MULTILINESTRING ((-97.175674430024 49.839544346888, -97.178097354425 49.838727934355, -97.179598545182 49.838751526501))",5086,STREET,Seel,AVE,,1641,1641,1664,1664
Beaumont St,"MULTILINESTRING ((-97.160572486505 49.843875111531, -97.160029822935 49.843228635441))",9950,STREET,Beaumont,ST,,,,1250,1250
De Baets St,"MULTILINESTRING ((-97.038068236467 49.882038159841, -97.037186669219 49.881807351178, -97.035311133702 49.881028978758, -97.034615145462 49.880342544153, -97.031782633777 49.876399584012))",16643,STREET,De Baets,ST,,310,410,235,405
Stapleton St,"MULTILINESTRING ((-97.076975575743 49.897828926359, -97.076178285904 49.899668681466))",15164,STREET,Stapleton,ST,,15,43,18,38
Warman Rd,"MULTILINESTRING ((-97.071976931575 49.890828677639, -97.069467105996 49.890571021777))",18001,STREET,Warman,RD,,150,150,,
Panet Rd,"MULTILINESTRING ((-97.0828646828 49.882400972419, -97.080606749272 49.884225587018))",17467,STREET,Panet,RD,,5,45,50,50
Talbot Ave,"MULTILINESTRING ((-97.107900798387 49.907152963347, -97.104427417574 49.906536151567))",15257,STREET,Talbot,AVE,,384,452,387,445
Mission St,"MULTILINESTRING ((-97.105404227417 49.898905417212, -97.104800531596 49.898901792739))",17371,STREET,Mission,ST,,,,,
Kenaston Blvd,"MULTILINESTRING ((-97.206968813343 49.853813169483, -97.207291547862 49.850355078563))",12257,STREET,Kenaston,BLVD,,,,690,750
Archibald St,"MULTILINESTRING ((-97.106173783785 49.897194240489, -97.105681232191 49.896259702645))",16061,STREET,Archibald,ST,,165,181,,
Lagimodiere Blvd,"MULTILINESTRING ((-97.071429764698 49.871021362665, -97.071624765014 49.871568895909, -97.071709017713 49.872227165682, -97.071633702965 49.873588362529))",17154,STREET,Lagimodiere,BLVD,,821,821,,
Wellington Cres,"MULTILINESTRING ((-97.175307919538 49.874763160438, -97.175777691534 49.874813357548, -97.176757998073 49.875064825052))",15684,STREET,Wellington,CRES,,885,901,880,900
Dovercourt Dr,"MULTILINESTRING ((-97.19333468593 49.822066044621, -97.194517050232 49.82355253305))",23092,STREET,Dovercourt,DR,,,,800,800
Loraine St,"MULTILINESTRING ((-97.11164877183 49.861096408775, -97.111157340129 49.861054907222, -97.110982089543 49.861073540524, -97.10893757801 49.861753818853))",1274,STREET,Loraine,ST,,8,28,11,25
Ham St,"MULTILINESTRING ((-97.047312869547 49.923359507881, -97.047235072448 49.926485350083, -97.047145712189 49.927118024856, -97.046261871413 49.928475432867, -97.046092013867 49.928566297923))",19776,STREET,Ham,ST,,,,,
Plinguet St,"MULTILINESTRING ((-97.101159828957 49.893316304855, -97.099464625639 49.8936810584))",17632,STREET,Plinguet,ST,,598,598,583,585
Brussels St,"MULTILINESTRING ((-97.075265323122 49.882715788378, -97.073014527625 49.882714157329))",16301,STREET,Brussels,ST,,1034,1060,,
Appleton St,"MULTILINESTRING ((-97.090802895872 49.946294677602, -97.089787606928 49.94756939655))",19335,STREET,Appleton,ST,,25,61,20,54
Starlight Dr,"MULTILINESTRING ((-97.046674748723 49.89430229142, -97.046256827683 49.895325089646))",19076,STREET,Starlight,DR,,,,,
Kenaston Blvd,"MULTILINESTRING ((-97.206999305781 49.827266365508, -97.206136798538 49.826656058046, -97.204947883209 49.825802512549))",12269,STREET,Kenaston,BLVD,,,,1539,1599
Fraser's Grove,"MULTILINESTRING ((-97.097822683083 49.93627593717, -97.095503651146 49.935493636283))",20619,STREET,Fraser's,GROVE,,144,180,147,183
Lyon St,"MULTILINESTRING ((-97.144362626236 49.846827858335, -97.143476217526 49.845725321609))",4282,STREET,Lyon,ST,,,,,
Pandora Ave W,"MULTILINESTRING ((-97.025348491055 49.893542810878, -97.025643969592 49.893609480674, -97.028534163616 49.893615027008))",18835,STREET,Pandora,AVE,W,811,815,808,840
Clarence Ave,"MULTILINESTRING ((-97.154317996283 49.835347271489, -97.155219490178 49.835046798637))",3301,STREET,Clarence,AVE,,1065,1067,1100,1106
Kimberly Ave,"MULTILINESTRING ((-97.103964866874 49.927606295505, -97.103567396764 49.92743788474, -97.099551565843 49.926094837389))",20723,STREET,Kimberly,AVE,,216,298,205,285
Buffalo Pl,"MULTILINESTRING ((-97.17263127758 49.835781434168, -97.177082872423 49.834268415838))",3164,STREET,Buffalo,PL,,1525,1595,,
Dugald Rd,"MULTILINESTRING ((-97.033336287343 49.885941714045, -97.032661106106 49.885949340159, -97.031280132969 49.886015843656, -97.030848120199 49.886026495314, -97.026156019601 49.886036638148))",25338,STREET,Dugald,RD,,2000,2042,2015,2049
Regent Ave W,"MULTILINESTRING ((-97.054389511836 49.895733972231, -97.057804936747 49.896330953803))",18957,STREET,Regent,AVE,W,1515,1519,1504,1524
Manahan Ave,"MULTILINESTRING ((-97.151241443449 49.831014868874, -97.154863016052 49.829796983335))",4297,STREET,Manahan,AVE,,1005,1049,1040,1052
Point Rd,"MULTILINESTRING ((-97.139737125076 49.846016167926, -97.141643839295 49.846352592966))",4599,STREET,Point,RD,,767,767,,
Wickham Rd,"MULTILINESTRING ((-97.084481971635 49.871786516842, -97.083659938391 49.871808908402))",18033,STREET,Wickham,RD,,77,95,100,100
Wellington Cres,"MULTILINESTRING ((-97.196725899874 49.876699467092, -97.197013923133 49.87670718474, -97.197223872309 49.876706339528, -97.19742141255 49.876697079331, -97.197638789964 49.876667573195, -97.197907179698 49.876634748963, -97.19816890578 49.876610042148, -97.198443040698 49.876593749239, -97.198678419225 49.876593296635, -97.199014599841 49.876619074726, -97.199331249976 49.87665688087, -97.199585090003 49.876673156473, -97.199903116006 49.87667398511, -97.200228263274 49.876654369387, -97.200458048378 49.876633272253, -97.200784264127 49.876584895875, -97.201446025244 49.876484522404, -97.201790307901 49.876425680433, -97.202153559605 49.876376046066, -97.202574778971 49.876325526614))",23661,STREET,Wellington,CRES,,1429,1467,1432,1484
French St,"MULTILINESTRING ((-97.156669850136 49.828258377491, -97.156582054189 49.829203682206))",3712,STREET,French,ST,,1070,1080,,
Balfour Ave,"MULTILINESTRING ((-97.115072733837 49.865361846932, -97.116750048513 49.864813428996))",9807,STREET,Balfour,AVE,,39,59,,
Beaverbrook St,"MULTILINESTRING ((-97.199701426495 49.867426900504, -97.200027134744 49.86390591558))",9958,STREET,Beaverbrook,ST,,401,517,406,516
Archibald St,"MULTILINESTRING ((-97.098340047897 49.881099754883, -97.097939176122 49.880319600733))",16075,STREET,Archibald,ST,,649,665,650,650
Guy Savoie Dr,"MULTILINESTRING ((-97.033336287343 49.885941714045, -97.033339819167 49.884420524681))",25339,STREET,Guy Savoie,DR,,10,40,,
Transcona Blvd,"MULTILINESTRING ((-97.03090932455 49.900201928649, -97.033269734701 49.900804631975))",26898,STREET,Transcona,BLVD,,,,150,160
Mager Dr,"MULTILINESTRING ((-97.111473258703 49.862029038279, -97.11196281405 49.862069227963, -97.112097621857 49.862066147245, -97.112166053563 49.862038239666, -97.11222924052 49.861987820299, -97.114223382008 49.860013943946))",1282,STREET,Mager,DR,,3,41,16,24
Weatherdon Ave,"MULTILINESTRING ((-97.151727933896 49.862785937167, -97.153856275341 49.862073269926))",15610,STREET,Weatherdon,AVE,,775,821,778,818
Panet Rd,"MULTILINESTRING ((-97.079119196016 49.885928000999, -97.079094454703 49.887436003451))",17471,STREET,Panet,RD,,,,140,140
Cambridge St,"MULTILINESTRING ((-97.173931825479 49.874714503722, -97.174049525445 49.873439065251))",10234,STREET,Cambridge,ST,,41,71,94,94
Weatherdon Ave,"MULTILINESTRING ((-97.153856275341 49.862073269926, -97.155984554918 49.861360562804))",15611,STREET,Weatherdon,AVE,,831,863,826,854
Centennial St,"MULTILINESTRING ((-97.200924355967 49.867472874626, -97.20125773013 49.863956780143))",10371,STREET,Centennial,ST,,409,497,406,492
Lanark St,"MULTILINESTRING ((-97.198540334504 49.856905909892, -97.198698832261 49.855097145316, -97.198749037317 49.854495258907, -97.19884209014 49.853489262134))",12386,STREET,Lanark,ST,,715,775,678,780
Casey St,"MULTILINESTRING ((-97.128611694684 49.866111958475, -97.127934391892 49.865273473784))",10326,STREET,Casey,ST,,,,,
Dugald Rd,"MULTILINESTRING ((-97.049608441944 49.885839965795, -97.043125791163 49.885892310302))",16731,STREET,Dugald,RD,,,,1521,1599
Mathers Bay W,"MULTILINESTRING ((-97.185561779055 49.852958282251, -97.185701394447 49.851311164978, -97.185799136246 49.851242475276, -97.186944234323 49.851127196779, -97.187092706135 49.851213066335, -97.186950838577 49.853016001593))",12979,STREET,Mathers,BAY,W,1516,1666,1514,1660
Lorimer Blvd,"MULTILINESTRING ((-97.200465330319 49.84691797663, -97.200800750466 49.843249982019, -97.200750836716 49.842598659618))",24662,STREET,Lorimer,BLVD,,,,900,1020
Archibald St,"MULTILINESTRING ((-97.096323318989 49.877162785207, -97.095909661509 49.876355428001))",16080,STREET,Archibald,ST,,771,787,778,778
Panet Rd,"MULTILINESTRING ((-97.064948258313 49.908863623093, -97.064619312084 49.909305703168))",17487,STREET,Panet,RD,,861,861,,
Oakenwald Ave,"MULTILINESTRING ((-97.135438313063 49.847476246138, -97.138679995955 49.84637698708))",4499,STREET,Oakenwald,AVE,,,,512,542
Deering Close,"MULTILINESTRING ((-97.058031053324 49.916708588113, -97.057020230981 49.917742242399, -97.056785392032 49.917893053618))",19585,STREET,Deering,CLOSE,,3,51,55,99
Brazier St,"MULTILINESTRING ((-97.09094785806 49.93684644791, -97.090170607362 49.937823098457))",10095,STREET,Brazier,ST,,1105,1121,1108,1122
Cole Ave,"MULTILINESTRING ((-97.09604993538 49.902155579926, -97.0930903865 49.901630195975))",10571,STREET,Cole,AVE,,141,171,,
Sterling Lyon Pky,"MULTILINESTRING ((-97.202801427462 49.84236153593, -97.205886446315 49.841921750127, -97.208826828078 49.841591110323))",24327,STREET,Sterling Lyon,PKY,,,,,
Waverley St,"MULTILINESTRING ((-97.17933104654 49.846885746352, -97.179532442775 49.84499671381, -97.179530613364 49.84269409102))",15565,STREET,Waverley,ST,,865,905,900,900
Archibald St,"MULTILINESTRING ((-97.099684476385 49.883730375407, -97.09927035635 49.882932019039))",16072,STREET,Archibald,ST,,575,591,566,582
Heatherdale Ave,"MULTILINESTRING ((-97.155674463248 49.850867388661, -97.155953086808 49.851222630103, -97.157826839457 49.850604785615))",11800,STREET,Heatherdale,AVE,,1050,1050,,
Academy Rd,"MULTILINESTRING ((-97.202044660044 49.87448083683, -97.203626352765 49.874539878261))",9375,STREET,Academy,RD,,645,645,644,654
Keenleyside St,"MULTILINESTRING ((-97.080778247494 49.89850361245, -97.079978782141 49.90035254318))",12204,STREET,Keenleyside,ST,,21,31,10,10
Lockwood St,"MULTILINESTRING ((-97.202044660044 49.87448083683, -97.202228423029 49.872557317224))",12510,STREET,Lockwood,ST,,141,145,134,170
Borebank St,"MULTILINESTRING ((-97.191346006117 49.876869327718, -97.191590439185 49.874073871802))",10017,STREET,Borebank,ST,,91,155,90,158
McGillivray Blvd,"MULTILINESTRING ((-97.209585505629 49.818386169265, -97.209973043615 49.818253378983))",4381,STREET,McGillivray,BLVD,,,,2332,2332
Taylor Ave,"MULTILINESTRING ((-97.199165735491 49.850022210228, -97.201277037511 49.85010896891))",15309,STREET,Taylor,AVE,,,,1710,1760
Clarence Ave,"MULTILINESTRING ((-97.160093608143 49.83340623052, -97.164418919185 49.831927672712))",3305,STREET,Clarence,AVE,,1225,1255,1200,1260
Windermere Ave,"MULTILINESTRING ((-97.154069653583 49.847711553033, -97.155182994592 49.847333498599))",5545,STREET,Windermere,AVE,,1025,1039,1030,1040
Waterford Ave,"MULTILINESTRING ((-97.154394052878 49.844307586358, -97.157381127902 49.843302696885))",5468,STREET,Waterford,AVE,,1001,1029,1006,1030
Maginot St,"MULTILINESTRING ((-97.079919252886 49.873483053138, -97.0738092415 49.87348061694))",17297,STREET,Maginot,ST,,928,928,915,977
Buffalo Pl,"MULTILINESTRING ((-97.166531075738 49.83785288956, -97.168644542079 49.837130723374))",3162,STREET,Buffalo,PL,,1397,1399,,
Waverley St,"MULTILINESTRING ((-97.179544758914 49.826971396297, -97.179283269343 49.822539154549))",15576,STREET,Waverley,ST,,1437,1501,1450,1450
Dugald Rd,"MULTILINESTRING ((-97.081925121493 49.88593881682, -97.079119196016 49.885928000999))",16723,STREET,Dugald,RD,,920,922,903,927
Regent Ave W,"MULTILINESTRING ((-97.057804936747 49.896330953803, -97.064496169223 49.897540272519))",18958,STREET,Regent,AVE,W,1545,1561,1530,1578
Plessis Rd,"MULTILINESTRING ((-97.026156019601 49.886036638148, -97.025278131221 49.887447582101))",17603,STREET,Plessis,RD,,,,1090,1090
Kenaston Blvd,"MULTILINESTRING ((-97.209658029619 49.832239679434, -97.209762835307 49.831156932486, -97.209695400268 49.830350822787, -97.209489752903 49.829734117121, -97.209010981411 49.82890780879, -97.208262916217 49.828183228116, -97.207318401831 49.827497363719))",12264,STREET,Kenaston,BLVD,,1301,1427,,
Panet Rd,"MULTILINESTRING ((-97.079096184779 49.8885668614, -97.079099147906 49.890991899668))",24335,STREET,Panet,RD,,,,212,260
Archibald St,"MULTILINESTRING ((-97.106198989215 49.902462255552, -97.1073563091 49.899733299947, -97.107389984412 49.899564088213, -97.107338458612 49.899448224555))",16055,STREET,Archibald,ST,,3,91,14,80
Hazel Dell Ave,"MULTILINESTRING ((-97.101317858502 49.930432384481, -97.097177934707 49.929051244121))",20668,STREET,Hazel Dell,AVE,,210,298,209,295
Cockburn St S,"MULTILINESTRING ((-97.141598439337 49.856966057158, -97.140894604021 49.856091241749))",10567,STREET,Cockburn,ST,S,871,871,880,882
Clonard Ave,"MULTILINESTRING ((-97.110089867012 49.86324780989, -97.104493038291 49.865099347418))",460,STREET,Clonard,AVE,,10,110,11,103
Rougeau Ave,"MULTILINESTRING ((-97.053885560981 49.892685169998, -97.054344748081 49.892667998542, -97.054775721701 49.892709106816, -97.056656167732 49.893037486546))",19016,STREET,Rougeau,AVE,,351,405,350,406
Regent Ave W,"MULTILINESTRING ((-97.041891992501 49.895329130597, -97.046256827683 49.895325089646))",18953,STREET,Regent,AVE,W,1401,1431,1384,1424
La Fleche St,"MULTILINESTRING ((-97.107802571809 49.895781631969, -97.10829445691 49.896734139905))",17108,STREET,La Fleche,ST,,682,686,,
Ash St,"MULTILINESTRING ((-97.182389043782 49.873741048725, -97.182686559402 49.870264643143))",9733,STREET,Ash,ST,,173,251,174,294
Corydon Ave,"MULTILINESTRING ((-97.20125773013 49.863956780143, -97.203028112557 49.864033438033))",23665,STREET,Corydon,AVE,,1795,1835,1800,1818
De Baets St,"MULTILINESTRING ((-97.031782633777 49.876399584012, -97.02962075658 49.87343043406))",16647,STREET,De Baets,ST,,450,450,455,455
Kildonan Dr,"MULTILINESTRING ((-97.107738048232 49.935862379716, -97.107167716658 49.936549396908))",20705,STREET,Kildonan,DR,,887,905,890,904
Daniel St,"MULTILINESTRING ((-97.160674374882 49.847420786474, -97.15946731682 49.845872460195))",10863,STREET,Daniel,ST,,,,,
Glasgow Ave,"MULTILINESTRING ((-97.136037851561 49.869733374448, -97.137692143381 49.869181616384))",11529,STREET,Glasgow,AVE,,421,421,410,436
Crescent Dr,"MULTILINESTRING ((-97.139277229596 49.839193528574, -97.139022559004 49.839047512872, -97.138053275232 49.837829953945, -97.137704251027 49.837733005681, -97.136988873334 49.837610294663, -97.136701507412 49.837530148946, -97.136414352525 49.837375735969, -97.134873138339 49.836134785838, -97.133988170317 49.835373588803, -97.133571050682 49.834820491199, -97.133358994011 49.834357148035, -97.13327062975 49.833875048536, -97.1333823002 49.833420878363, -97.133629941209 49.833027989172, -97.133944725255 49.832803537407, -97.134290180936 49.832610205446, -97.134825676282 49.832461033878, -97.135391843492 49.832342980211, -97.135972064127 49.832345570029, -97.136512712521 49.832404947664, -97.14177599264 49.833473736906))",25955,STREET,Crescent,DR,,625,815,758,800
Molson St,"MULTILINESTRING ((-97.06288432878 49.911707574494, -97.061601207834 49.913485139701))",13356,STREET,Molson,ST,,,,1000,1000
Ballantrae Dr,"MULTILINESTRING ((-97.164552099988 49.821580228561, -97.163327903828 49.82217027958, -97.159269441424 49.823549731109, -97.159024990047 49.82352219268, -97.158785960755 49.823214261781, -97.158636702231 49.822880722967, -97.158602543859 49.822542254653, -97.15868009515 49.822012944046, -97.163512225518 49.820339178904, -97.164552099988 49.821580228561))",26772,STREET,Ballantrae,DR,,,,745,755
Mazenod Rd,"MULTILINESTRING ((-97.049608441944 49.885839965795, -97.049588011698 49.884274472399))",17345,STREET,Mazenod,RD,,,,4,16
McGillivray Blvd,"MULTILINESTRING ((-97.219450856203 49.815058100037, -97.221031812297 49.814389955375))",23591,STREET,McGillivray,BLVD,,2585,2585,,
Daly St S,"MULTILINESTRING ((-97.137341107792 49.858408882736, -97.136637675641 49.857525052803))",10856,STREET,Daly,ST,S,,,,
Emerson Ave,"MULTILINESTRING ((-97.065114695634 49.959328524814, -97.060881786698 49.957449824268))",19669,STREET,Emerson,AVE,,192,264,191,275
Knowles Ave,"MULTILINESTRING ((-97.033086682869 49.943978190206, -97.011020831638 49.934162623161))",19907,STREET,Knowles,AVE,,2040,2620,2031,2611
Mathers Ave,"MULTILINESTRING ((-97.184172386345 49.852909536055, -97.185561779055 49.852958282251))",12963,STREET,Mathers,AVE,,,,,
Springfield Rd,"MULTILINESTRING ((-97.082142296741 49.942053161343, -97.077547683593 49.940528877508))",20284,STREET,Springfield,RD,,304,364,297,367
Brazier St,"MULTILINESTRING ((-97.113612824128 49.91068214978, -97.113206724143 49.911231692908, -97.113070737187 49.911347508113))",10055,STREET,Brazier,ST,,,,128,142
Archibald St,"MULTILINESTRING ((-97.103870085258 49.892731016277, -97.103145839664 49.891315938378, -97.102784995337 49.889511021347))",16064,STREET,Archibald,ST,,307,381,350,350
Winterton Ave,"MULTILINESTRING ((-97.102335467608 49.918359749499, -97.098402535441 49.917053993686))",21056,STREET,Winterton,AVE,,400,500,401,489
Bowman Ave,"MULTILINESTRING ((-97.112488298756 49.918435539876, -97.108390124829 49.917073463918))",20524,STREET,Bowman,AVE,,214,296,219,299
Golden Eagle Dr,"MULTILINESTRING ((-97.049928086353 49.920321856101, -97.050346003637 49.920378863775))",24136,STREET,Golden Eagle,DR,,195,211,175,191
Lilac St,"MULTILINESTRING ((-97.147152579702 49.857148705618, -97.146505539042 49.856352020886))",12463,STREET,Lilac,ST,,799,799,,
Brunet Prom,"MULTILINESTRING ((-97.092284664762 49.873867172315, -97.092076863514 49.873813772824, -97.091673744671 49.873810706133, -97.091543544085 49.873890670631, -97.091532573539 49.87416894426, -97.091379024604 49.874280653454, -97.090354360207 49.874275649569))",24162,STREET,Brunet,PROM,,3,55,59,131
Molson St,"MULTILINESTRING ((-97.053393700373 49.922549565545, -97.052667848368 49.923274970641))",13365,STREET,Molson,ST,,1425,1439,,
Queenston St,"MULTILINESTRING ((-97.18700007697 49.866941075432, -97.187312796537 49.863419918678))",14327,STREET,Queenston,ST,,401,499,402,492
Oakview Ave,"MULTILINESTRING ((-97.105971162368 49.931165128195, -97.101899606578 49.929812259454))",20894,STREET,Oakview,AVE,,100,184,101,183
Brock St,"MULTILINESTRING ((-97.189493606636 49.853100728663, -97.189688482362 49.850864008668))",10140,STREET,Brock,ST,,827,879,820,874
Jacques Ave,"MULTILINESTRING ((-97.047312869547 49.923359507881, -97.046247603245 49.923344185984))",19844,STREET,Jacques,AVE,,222,226,,
Crescent Dr,"MULTILINESTRING ((-97.148319292977 49.832921839957, -97.15092574264 49.832036966208))",3464,STREET,Crescent,DR,,947,973,948,986
Centennial St,"MULTILINESTRING ((-97.201585108407 49.860547976168, -97.201909952962 49.857044959618))",10373,STREET,Centennial,ST,,619,721,614,706
Blenheim Ave,"MULTILINESTRING ((-97.108337741853 49.864691607043, -97.105050393219 49.865792088558))",253,STREET,Blenheim,AVE,,44,110,51,51
Regent Ave W,"MULTILINESTRING ((-97.031224841992 49.895243899429, -97.035512480798 49.895271668516))",18951,STREET,Regent,AVE,W,995,1001,900,950
Oak Point Hwy,"MULTILINESTRING ((-97.208795225967 49.929555588197, -97.211363453351 49.930850445644))",24275,STREET,Oak Point,HWY,,87,95,70,70
Montbrook Rd,"MULTILINESTRING ((-97.21633234034 49.936126566042, -97.216343608046 49.936787341175, -97.216452357395 49.93702790175, -97.21662169803 49.937195011521, -97.216887448591 49.937322429972, -97.217211202812 49.937407558066, -97.21752517613 49.937413189138))",13440,STREET,Montbrook,RD,,2,66,3,65
Foyle St,"MULTILINESTRING ((-97.198749368744 49.93937176678, -97.198748729391 49.940136323872))",11371,STREET,Foyle,ST,,7,19,,
King Edward St E,"MULTILINESTRING ((-97.205656056107 49.891499870051, -97.20679228534 49.892398959068, -97.207816525169 49.893065554722))",8280,STREET,King Edward,ST,E,117,125,110,120
Pipeline Rd,"MULTILINESTRING ((-97.161022796336 49.953134745961, -97.161019767877 49.955159289142))",22287,STREET,Pipeline,RD,,153,195,152,176
Century St,"MULTILINESTRING ((-97.202492334417 49.901327325623, -97.202124044605 49.905601613847, -97.202120749429 49.905811907784, -97.202137600245 49.905967006427, -97.202191378066 49.90610222751))",7635,STREET,Century,ST,,801,901,856,880
Burrows Ave,"MULTILINESTRING ((-97.200940738302 49.938556073556, -97.20439652104 49.938561158729))",10211,STREET,Burrows,AVE,,2065,2149,2080,2080
Brooklyn St,"MULTILINESTRING ((-97.209474081152 49.887655090882, -97.209192989255 49.890736022858))",7475,STREET,Brooklyn,ST,,433,495,442,484
Manitoba Ave,"MULTILINESTRING ((-97.178143345562 49.928103003993, -97.181012907407 49.929017244744))",12875,STREET,Manitoba,AVE,,1335,1393,1340,1406
Century St,"MULTILINESTRING ((-97.205928967735 49.887519322093, -97.205703311357 49.890601104628))",7628,STREET,Century,ST,,423,477,,
Milt Stegall Dr,"MULTILINESTRING ((-97.19838088238 49.890946274337, -97.198122204142 49.894153459055))",9637,STREET,Milt Stegall,DR,,925,995,842,850
Burrows Ave,"MULTILINESTRING ((-97.16544266448 49.925716967158, -97.169145867235 49.926899872337))",10191,STREET,Burrows,AVE,,1033,1113,1048,1104
Border St,"MULTILINESTRING ((-97.201652944159 49.911541566222, -97.201550265973 49.912909756138))",7434,STREET,Border,ST,,1327,1327,1308,1326
Tyndall Ave,"MULTILINESTRING ((-97.199850662113 49.935251211252, -97.200937702037 49.935250092705))",15391,STREET,Tyndall,AVE,,289,301,288,304
Logan Ave,"MULTILINESTRING ((-97.202763463953 49.924007775271, -97.206742311468 49.925292692316))",12566,STREET,Logan,AVE,,1961,2031,1954,2010
King Edward St,"MULTILINESTRING ((-97.206758439024 49.919976941955, -97.206753265016 49.920867359666))",8244,STREET,King Edward,ST,,1727,1737,1740,1740
Border St,"MULTILINESTRING ((-97.201550265973 49.912909756138, -97.201321670461 49.915952942923))",7435,STREET,Border,ST,,1349,1393,1338,1368
Holiday Pl,"MULTILINESTRING ((-97.142237231389 49.956326082864, -97.141655667102 49.956946409837, -97.14054055017 49.956577732186))",21961,STREET,Holiday,PL,,3,21,14,60
Berry St,"MULTILINESTRING ((-97.210319445772 49.890771409583, -97.209944521476 49.89450752518))",7411,STREET,Berry,ST,,575,619,530,590
Stardust Ave,"MULTILINESTRING ((-97.152882549123 49.947384271536, -97.15759103253 49.948925351838))",22412,STREET,Stardust,AVE,,,,1018,1100
Selkirk Ave,"MULTILINESTRING ((-97.179242981921 49.926654102245, -97.181605252137 49.927412869646, -97.181749629416 49.927431023849))",14853,STREET,Selkirk,AVE,,1377,1423,1374,1412
Manitoba Ave,"MULTILINESTRING ((-97.181317738008 49.929116207506, -97.182060365086 49.929357994843, -97.182324861153 49.929351611685))",22855,STREET,Manitoba,AVE,,1425,1433,1412,1422
Templeton Ave,"MULTILINESTRING ((-97.154393065533 49.962196401612, -97.156833546264 49.962983852174))",26884,STREET,Templeton,AVE,,,,1250,1266
Berry St,"MULTILINESTRING ((-97.211379342871 49.878831313597, -97.21092327654 49.883854603806))",7408,STREET,Berry,ST,,201,305,200,306
Mandalay Dr,"MULTILINESTRING ((-97.18256997364 49.948959739179, -97.182585655093 49.949283801593, -97.182655033732 49.949662674983))",22062,STREET,Mandalay,DR,,,,126,126
Saskatchewan Ave,"MULTILINESTRING ((-97.195871219002 49.906720392435, -97.19843246429 49.906512460233, -97.199606596736 49.906302228591))",14745,STREET,Saskatchewan,AVE,,1451,1451,1450,1450
King Edward St,"MULTILINESTRING ((-97.206761795588 49.935655132842, -97.206762619609 49.936383732864))",8265,STREET,King Edward,ST,,2175,2175,2178,2190
Hyde Ave,"MULTILINESTRING ((-97.208795225967 49.929555588197, -97.209303614079 49.929355040382, -97.209755198444 49.929285360742))",24276,STREET,Hyde,AVE,,30,30,65,65
Burrows Ave,"MULTILINESTRING ((-97.189275229871 49.937493336527, -97.1917655237 49.938291617327))",10204,STREET,Burrows,AVE,,1865,1881,1840,1860
Notre Dame Ave,"MULTILINESTRING ((-97.169995147896 49.904839638267, -97.171082156194 49.905189606544))",13566,STREET,Notre Dame,AVE,,953,975,952,968
Willowood Rd,"MULTILINESTRING ((-97.159360110807 49.953997783119, -97.159361232508 49.954185122287, -97.159337514368 49.954305066827, -97.15928821652 49.954402689828, -97.159210733818 49.954494915775, -97.159025042689 49.954676891309, -97.158933268175 49.954820589173, -97.158909457524 49.954927915917, -97.158900543046 49.955161642274))",23773,STREET,Willowood,RD,,23,47,28,36
Ross Ave W,"MULTILINESTRING ((-97.18376980204 49.915202577033, -97.186068790183 49.915931180902))",14579,STREET,Ross,AVE,W,1389,1435,1384,1428
King Edward St,"MULTILINESTRING ((-97.206779368451 49.955075375379, -97.206768836085 49.957115174179))",26092,STREET,King Edward,ST,,,,2750,2762
Kingsbury Ave,"MULTILINESTRING ((-97.137329353695 49.946577790426, -97.140460352507 49.947588533954))",21395,STREET,Kingsbury,AVE,,725,745,,
Manitoba Ave,"MULTILINESTRING ((-97.2067725819 49.93348752714, -97.209768634424 49.933488849338))",12891,STREET,Manitoba,AVE,,,,2008,2044
Dublin Ave,"MULTILINESTRING ((-97.189618745997 49.911156380179, -97.194364069708 49.91127535927))",10985,STREET,Dublin,AVE,,1475,1499,1450,1500
Mountain Ave,"MULTILINESTRING ((-97.17170333944 49.932957845631, -97.177142079569 49.934698544799))",13438,STREET,Mountain,AVE,,1289,1355,1290,1372
Marjorie St,"MULTILINESTRING ((-97.212891416481 49.890874054316, -97.212559102581 49.894592844405))",8431,STREET,Marjorie,ST,,551,591,540,570
