Roll_No,Application_Year,Building_Permit_No,Develop__Permit__No,Date_Received,Status,Date_Of_Decision,Date_Permit_Expires,Date_Of_Occupancy_Permit,Lot,Block,Plan,Unit_No,Street_No,Street_Name,Building_Name,Business_Name,Description,No_Of_Existing_Dwelling_Units,No_Of_New_Dweling_Units,Value_of_Construction,Permit_Fee,SCC_Fee,Comments,Processing_Time
000106,2007,07BP60,,20070927,Approved,20071002,20081002,,4-7,5,6719BC,,211,Bear St,,,Commercial,,,3200.0000000,100.0000000,4.0000000,Temporary partition - Demising Wall,Oct 02 Oct 02
000897,2007,07BP61,,2007101,,,,,2,R4,1926HH,,137,Rainbow Ave,,,Residential,,,300000.0000000,2500.0000000,87.5000000,Single Family Dwelling-Addition,Apr. 22/08 Apr. 22/08
000649,2007,07BP62,,20071011,Closed,,,,4,55,2842IC,,337,Big Horn St,,,Residential,,,850000.0000000,6698.0000000,234.4300000,Construction of a Duplex - Duplex,Oct 16 Oct 23
000826,2007,07BP63,,20071012,Approved,20071023,20081023,,,B,4357HW,,98,Banff Ave,,,Commercial,,,45000.0000000,354.6000000,12.4100000,Construction of 3 offices - Interior Alteration,Oct 16 Oct 23
000365,2007,07BP64,,20071029,Approved,2007103,2008103,,19-21,19,1211HU,,449,Banff Ave,,,Commercial,,,5000.0000000,100.0000000,4.0000000,Converting hot tub area into TV area - Interior Alteration,Oct 30 Oct 30
000074,2007,07BP65,,20071116,Approved,2007112,2008112,,1,4,6719BC,,514,Buffalo St,,,Residential,,,0.0000000,75.0000000,4.0000000,Demolition,Nov. 20/07  Nov. 20/07
013115,2007,07BP66,,2007112,,,,,39,1,9312628,,122,Bear St,,Keller Foods,Commercial,,,140000.0000000,1103.2000000,38.6100000,Interior renovation - Renovation,Nov.27/07 Nov.27/07
000261,2007,07BP67,,2007112,Expired,,2009102,,10,13,6719BC,,345,Banff Ave,,,Commercial,,,0.0000000,75.0000000,4.0000000,Demolition - Demolition Single Family Dwelling,Nov.27/07 Nov.27/07
000262,2007,07BP68,,2007112,Expired,,2009102,,11,13,6719BC,,347,Banff Ave,,,Commercial,,,0.0000000,75.0000000,4.0000000,Demolition - Demolition  Single Family Dwelling,Nov. 27/07 Nov. 27/07
000263,2007,07BP69,,2007112,Expired,,2009102,,12,13,6719BC,,349,Banff Ave,,,Commercial,,,0.0000000,75.0000000,4.0000000,Demolition - Demolition  Single Family Dwelling,Nov. 27/07 Nov. 27/07
000361,2007,07BP70,,2007112,Approved,20071127,20081127,,15-18,19,1211HU,,453,Marten St,,Best Western Siding 29 Lodge,Commercial,,,50000.0000000,394.0000000,13.7900000,Breakfast Room - Renovation,Nov . 27/07 Nov. 27/07
000555,2007,07BP71,,20071123,,,,,1-3,28,6719BC,,501,Banff Ave,,Banff Inn,Commercial,,,16500.0000000,130.0200000,4.5500000,Increase current breakfast preperation area - Restaurant,Nov 27/07  Dec. 04/07
000133,2007,07BP72,,20071127,Approved,20071127,20081127,,27 & 31,6,6719BC,,208,Bear St,,Cozy Cave Bakehouse,Commercial,,,50000.0000000,394.0000000,13.7900000,Renovation of existing space - Renovation,Nov.27/07 Nov.27/07
001126,2007,07BP73,,20071127,,,,,33,58,7810719,,150,Eagle Cres,,,Commercial,,,50000.0000000,394.0000000,13.7900000,Interior renovation - Demising Walls,Nov.27/07 Nov.27/07
000074,2007,07BP74,,20071203,Expired,20121204,,,1,4,6719BC,,514,Buffalo St,,,Residential,,,410000.0000000,3230.8000000,87.5000000,Restoration - New Development SFD - Single Family Dwelling Addition,Dec. 11/07  Dec. 11 /07
