Municipality,Building Use,Activity,Value of Permits,Number of Permits,Extract Date
TOWN OF MIDDLETON,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF MIDDLETON,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF MULGRAVE,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF MULGRAVE,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF MULGRAVE,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF MULGRAVE,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF MULGRAVE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF MULGRAVE,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF NEW GLASGOW,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF NEW GLASGOW,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF NEW GLASGOW,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF NEW GLASGOW,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF NEW GLASGOW,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF NEW GLASGOW,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF PICTOU,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF PICTOU,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF PICTOU,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF PICTOU,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF PICTOU,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF PICTOU,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF PORT HAWKESBURY,Commercial,AdditionsAndRenovations,189500,3,06/01/2019 07:30:40 AM
TOWN OF PORT HAWKESBURY,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF PORT HAWKESBURY,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF PORT HAWKESBURY,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF PORT HAWKESBURY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF PORT HAWKESBURY,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF SHELBURNE,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF SHELBURNE,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF SHELBURNE,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF SHELBURNE,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF SHELBURNE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF SHELBURNE,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF STELLARTON,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF STELLARTON,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF STELLARTON,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF STELLARTON,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF STELLARTON,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF STELLARTON,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF STEWIACKE,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF STEWIACKE,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF STEWIACKE,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF STEWIACKE,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF STEWIACKE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF STEWIACKE,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF TRENTON,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF TRENTON,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF TRENTON,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF TRENTON,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF TRENTON,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF TRENTON,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF TRURO,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF TRURO,Commercial,NewConstruction,28001,3,06/01/2019 07:30:40 AM
