idx,facility_name,source_id,authority_type,grade_range,facility_type,address_str,street_addr,city,province,postal_code,provider,address_str_clean,street_no,street_name
510,Dasmesh Punjabi School,3496425,Independent School,K-12,Standard School,5930 Riverside St Abbotsford BC V4X 1T8,5930 Riverside St,Abbotsford,BC,V4X 1T8,Province of British Columbia,5930 riverside st abbotsford bc v4x 1t8,5930,riverside st
511,Daughters and Sisters(PLEA)Program,3695059,Public School,No Enrolment Reported,Long Term PRP,14033 92 Ave Surrey BC V3V 0B7,14033 92 Ave,Surrey,BC,V3V 0B7,Province of British Columbia,14033 92 ave surrey bc v3v 0b7,14033,92 ave
512,Dave Kandal Elementary,3434056,Public School,K-5,Standard School,3551 Crestview Ave Abbotsford BC V2T 6T5,3551 Crestview Ave,Abbotsford,BC,V2T 6T5,Province of British Columbia,3551 crestview ave abbotsford bc v2t 6t5,3551,crestview ave
513,David Brankin Elementary,3636058,Public School,K-7,Standard School,9160 128 St Surrey BC V3V 5M8,9160 128 St,Surrey,BC,V3V 5M8,Province of British Columbia,9160 128 st surrey bc v3v 5m8,9160,128 st
514,David Cameron Elementary,6262021,Public School,K-5,Standard School,675 Meaford Ave Victoria BC V9B 5Y1,675 Meaford Ave,Victoria,BC,V9B 5Y1,Province of British Columbia,675 meaford ave victoria bc v9b 5y1,675,meaford ave
515,David Hoy Elementary,9156015,Public School,K-7,Standard School,PO Box 880 Fort St James BC V0J 1P0,PO Box 880,Fort St James,BC,V0J 1P0,Province of British Columbia,fort st james bc v0j 1p0,,
516,David Hoy StrongStart Centre,9125186,StrongStart BC,Pre-K,Early Learning Program,PO Box 880 Fort St. James BC V0J 1P0,PO Box 880,Fort St. James,BC,V0J 1P0,Province of British Columbia,fort st james bc v0j 1p0,,
517,David Livingstone Elementary,3939060,Public School,K-7,Standard School,315 23rd Ave E Vancouver BC V5V 1X6,315 23rd Ave E,Vancouver,BC,V5V 1X6,Province of British Columbia,315 23rd ave e vancouver bc v5v 1x6,315,23rd ave
518,David Lloyd George Elementary,3939035,Public School,K-7,Standard School,8370 Cartier St Vancouver BC V6P 4T8,8370 Cartier St,Vancouver,BC,V6P 4T8,Province of British Columbia,8370 cartier st vancouver bc v6p 4t8,8370,cartier st
519,David Oppenheimer Elementary,3939090,Public School,K-7,Standard School,2421 Scarboro Ave Vancouver BC V5P 2L5,2421 Scarboro Ave,Vancouver,BC,V5P 2L5,Province of British Columbia,2421 scarboro ave vancouver bc v5p 2l5,2421,scarboro ave
520,David Stoddart,7474018,Public School,K-12,Standard School,PO Box 129 Clinton BC V0K 1K0,PO Box 129,Clinton,BC,V0K 1K0,Province of British Columbia,clinton bc v0k 1k0,,
521,David Thompson Elementary,7324058,Public School,K-7,Standard School,1051 Pinesprings Rd Kamloops BC V2B 7W3,1051 Pinesprings Rd,Kamloops,BC,V2B 7W3,Province of British Columbia,1051 pinesprings rd kamloops bc v2b 7w3,1051,pinesprings rd
522,David Thompson Secondary,604015,Public School,"8-12, SU",Standard School,1535 14th St Unit 1 RR 4 Invermere BC V0A 1K4,1535 14th St Unit 1 RR 4,Invermere,BC,V0A 1K4,Province of British Columbia,1535 14th st unit 1 rr 4 invermere bc v0a 1k4,4,14th st
523,David Thompson Secondary,3939018,Public School,12-Aug,Standard School,1755 55th Ave E Vancouver BC V5P 1Z7,1755 55th Ave E,Vancouver,BC,V5P 1Z7,Province of British Columbia,1755 55th ave e vancouver bc v5p 1z7,1755,55th ave
524,Davidson Road Elementary,2323066,Public School,K-6,Standard School,2115 Davidson Rd Lake Country BC V4V 1R3,2115 Davidson Rd,Lake Country,BC,V4V 1R3,Province of British Columbia,2115 davidson rd lake country bc v4v 1r3,2115,davidson rd
525,Davie Jones Elementary,4242031,Public School,K-7,Standard School,12030 Blakely Rd Pitt Meadows BC V3Y 1J6,12030 Blakely Rd,Pitt Meadows,BC,V3Y 1J6,Province of British Columbia,12030 blakely rd pitt meadows bc v3y 1j6,12030,blakely rd
