idx,facility_name,facility_type,longitude,latitude,street_addr,provider
240,Quai des Artistes,Marina,45.456907,-75.699353,804 Rue Jacques-Cartier,Gatineau
241,Les Galeries de Buckingham,Centre commercial,45.57594,-75.408754,999 Rue Dollard,Gatineau
242,Marché Larose,Centre commercial,45.554267,-75.434896,110 Rue Georges,Gatineau
243,Plaza Gatineau,Centre commercial,45.48528,-75.641887,381 Boulevard Maloney Est,Gatineau
244,Les Galeries de Hull,Centre commercial,45.441346,-75.731899,320 Boulevard Saint-Joseph,Gatineau
245,École internationale du Village Immeuble Saint-Paul,École primaire,45.398193,-75.849796,45 Chemin Eardley,Gatineau
246,École Aux Quatre-Vents,École primaire,45.536374,-75.484399,1115 Rue de Neuville,Gatineau
247,Centre Jeunesse d'Aylmer,Édifice communautaire,45.392502,-75.843845,92 Rue du Patrimoine,Gatineau
248,Centre culturel du Vieux-Aylmer,Centre culturel,45.394537,-75.843931,120 Rue Principale,Gatineau
249,Parc Commémoratif,Autre parc,45.395396,-75.844049,121 Rue Principale,Gatineau
250,Parc Broad,Parc récréatif,45.398657,-75.843539,140 Rue Brook,Gatineau
251,Parc Chénier,Parc récréatif,45.401119,-75.847494,515 Rue Jean-Chénier,Gatineau
252,Parc des Trois-Portages,Parc récréatif,45.407931,-75.84652,170 Rue Broad,Gatineau
253,Parc Mulligan,Parc récréatif,45.407998,-75.851034,30 Rue Mulligan,Gatineau
254,Parc Bourgeau,Parc récréatif,45.404448,-75.850613,221 Rue Bourgeau Sud,Gatineau
255,Parc Lattion,Parc récréatif,45.405962,-75.872275,201 Chemin Lattion,Gatineau
256,Usine de filtration Secteur Aylmer,Usine de traitement des eaux,45.3966,-75.858256,1 Rue Raoul-Roy,Gatineau
257,Auberge Symmes,Centre culturel,45.394603,-75.85492,1 Rue Front,Gatineau
258,Parc du Lac-Beauchamp,Parc récréatif,45.488908,-75.618174,741 Boulevard Maloney Est,Gatineau
259,Parc du Lac-Beauchamp,Parc récréatif,45.494441,-75.618354,741 Boulevard Maloney Est,Gatineau
260,Corridor des ruisseaux Moore,Autre parc,45.435572,-75.78584,Boulevard d'Europe,Gatineau
